RecencyBin,Customers,MeanDaysSinceLastPurchase,Observed90dRepeatRate
"(0.872, 8.128]",337,3.972360286844708,0.7833827893175074
"(8.128, 19.087]",337,14.01974736234751,0.7477744807121661
"(19.087, 33.994]",337,26.321115644576327,0.7210682492581603
"(33.994, 51.071]",337,42.466963402571714,0.6735905044510386
"(51.071, 74.042]",337,61.97674126277613,0.6172106824925816
"(74.042, 97.818]",337,86.55024109792285,0.5667655786350149
"(97.818, 127.83]",337,113.47842070557205,0.5222551928783383
"(127.83, 170.971]",337,150.81714268051434,0.39465875370919884
"(170.971, 220.945]",337,192.9529900263765,0.3293768545994065
"(220.945, 283.123]",337,257.34896142433234,0.34421364985163205
