InvoiceNo,CustomerID,InvoiceDate,OrderRevenue,TotalUnits,UniqueProducts,InvoiceLines,Country
536365,17850,2010-12-01 08:26:00,139.12,40,7,7,United Kingdom
536366,17850,2010-12-01 08:28:00,22.200000000000003,12,2,2,United Kingdom
536367,13047,2010-12-01 08:34:00,278.73,83,12,12,United Kingdom
536368,13047,2010-12-01 08:34:00,70.05000000000001,15,4,4,United Kingdom
536369,13047,2010-12-01 08:35:00,17.85,3,1,1,United Kingdom
536370,12583,2010-12-01 08:45:00,855.86,449,20,20,France
536371,13748,2010-12-01 09:00:00,204.0,80,1,1,United Kingdom
536372,17850,2010-12-01 09:01:00,22.200000000000003,12,2,2,United Kingdom
536373,17850,2010-12-01 09:02:00,259.86,88,16,16,United Kingdom
536374,15100,2010-12-01 09:09:00,350.4,32,1,1,United Kingdom
536375,17850,2010-12-01 09:32:00,259.86,88,16,16,United Kingdom
536376,15291,2010-12-01 09:32:00,328.8,112,2,2,United Kingdom
536377,17850,2010-12-01 09:34:00,22.200000000000003,12,2,2,United Kingdom
536378,14688,2010-12-01 09:37:00,444.98,454,19,19,United Kingdom
536380,17809,2010-12-01 09:41:00,34.8,24,1,1,United Kingdom
536381,15311,2010-12-01 09:41:00,449.98,198,34,35,United Kingdom
536382,16098,2010-12-01 09:45:00,430.6,134,12,12,United Kingdom
536384,18074,2010-12-01 09:53:00,489.6,190,13,13,United Kingdom
536385,17420,2010-12-01 09:56:00,130.85,53,7,7,United Kingdom
536386,16029,2010-12-01 09:57:00,508.20000000000005,236,3,3,United Kingdom
536387,16029,2010-12-01 09:58:00,3193.92,1440,5,5,United Kingdom
536388,16250,2010-12-01 09:59:00,226.14,108,14,14,United Kingdom
536389,12431,2010-12-01 10:03:00,358.25,107,14,14,Australia
536390,17511,2010-12-01 10:19:00,1825.74,1568,24,24,United Kingdom
536392,13705,2010-12-01 10:29:00,318.14,103,10,10,United Kingdom
536393,13747,2010-12-01 10:37:00,79.6,8,1,1,United Kingdom
536394,13408,2010-12-01 10:39:00,1024.68,544,11,11,United Kingdom
536395,13767,2010-12-01 10:47:00,507.88,260,14,14,United Kingdom
536396,17850,2010-12-01 10:51:00,376.36,102,18,18,United Kingdom
536397,17924,2010-12-01 10:51:00,279.0,60,2,2,United Kingdom
536398,13448,2010-12-01 10:52:00,426.56,150,17,17,United Kingdom
536399,17850,2010-12-01 10:52:00,22.200000000000003,12,2,2,United Kingdom
536400,13448,2010-12-01 10:53:00,17.4,12,1,1,United Kingdom
536401,15862,2010-12-01 11:21:00,354.23,124,64,64,United Kingdom
536402,15513,2010-12-01 11:22:00,357.0,116,3,3,United Kingdom
536403,12791,2010-12-01 11:27:00,192.60000000000002,97,2,2,Netherlands
536404,16218,2010-12-01 11:29:00,471.3,438,28,28,United Kingdom
536405,14045,2010-12-01 11:32:00,326.4,128,1,1,United Kingdom
536406,17850,2010-12-01 11:33:00,353.14,96,17,17,United Kingdom
536407,17850,2010-12-01 11:34:00,22.200000000000003,12,2,2,United Kingdom
536408,14307,2010-12-01 11:41:00,783.11,558,48,48,United Kingdom
536409,17908,2010-12-01 11:45:00,232.03,169,51,54,United Kingdom
536412,17920,2010-12-01 11:49:00,453.46,197,54,68,United Kingdom
536415,12838,2010-12-01 11:57:00,390.79,228,59,59,United Kingdom
536416,13255,2010-12-01 11:58:00,225.7,110,6,6,United Kingdom
536420,16583,2010-12-01 12:03:00,233.45,111,14,14,United Kingdom
536423,18085,2010-12-01 12:08:00,303.9,78,9,9,United Kingdom
