Month,HorizonDays,ExpectedOrders,ExpectedRevenueGBP,ExpectedGrossMarginGBP,DiscountFactor,DiscountedGrossMarginGBP
1,30.416666666666668,1778.167400470602,873627.5126281461,262088.2537884438,0.992088943446991,260014.85879084404
2,60.833333333333336,1772.8669565833043,871146.6437717767,261343.99313153303,0.9842404717097668,257225.33507829416
3,91.25,1768.4113385449282,869048.4120917304,260714.52362751914,0.9764540896763105,254575.76283410215
4,121.66666666666667,1764.5319360907527,867212.765622331,260163.82968669926,0.9687293061514642,252028.32621810387
5,152.08333333333334,1761.0792687963435,865572.7947425988,259671.83842277963,0.9610656338259427,249561.67998053646
6,182.5,1757.9592576619502,864086.2184817309,259225.86554451927,0.9534625892455922,247162.16496150705
7,212.91666666666666,1755.1078602372636,862724.1176383991,258817.23529151973,0.9459196927808918,244820.31969335413
8,243.33333333333334,1752.4790293986075,861465.5987019463,258439.6796105839,0.9384364685966973,242529.22027901822
9,273.75,1750.038291317479,860294.9473780143,258088.4842134043,0.9310124446222227,240283.5906163655
10,304.1666666666667,1747.7590211562906,859199.9751709538,257759.9925512861,0.923647152521261,238079.28315389686
11,334.5833333333333,1745.6201417043299,858170.995199806,257451.29855994182,0.9163401276626394,235912.95578932934
12,365.0,1743.6046285561838,857200.1550377801,257160.04651133402,0.9090909090909088,233781.86046484904
